run_id,state_from_id,state_to_id,org,type_from,type_to,combo,sig_hash,sig_json,n_esmos,mean_support,min_support,max_support,time_s,source,computed_at
Tribe::peace_v1::Tribe::conflict_v1,Tribe::peace_v1,Tribe::conflict_v1,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,73.9,computed,2026-06-01T17:53:25.890362+00:00
Tribe::conflict_v1::Tribe::peace_v1,Tribe::conflict_v1,Tribe::peace_v1,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,39.3,computed,2026-06-01T17:54:05.203713+00:00
Tribe::peace_v1::Tribe::conflict_v2,Tribe::peace_v1,Tribe::conflict_v2,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,0.0,sig_match::Tribe::peace_v1::Tribe::conflict_v1,2026-06-01T17:54:05.208445+00:00
Tribe::conflict_v2::Tribe::peace_v1,Tribe::conflict_v2,Tribe::peace_v1,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,0.0,sig_match::Tribe::conflict_v1::Tribe::peace_v1,2026-06-01T17:54:05.218229+00:00
Tribe::peace_v1::Tribe::conflict_v3,Tribe::peace_v1,Tribe::conflict_v3,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,0.0,sig_match::Tribe::peace_v1::Tribe::conflict_v1,2026-06-01T17:54:05.225184+00:00
Tribe::conflict_v3::Tribe::peace_v1,Tribe::conflict_v3,Tribe::peace_v1,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,0.0,sig_match::Tribe::conflict_v1::Tribe::peace_v1,2026-06-01T17:54:05.229602+00:00
Tribe::peace_v1::Tribe::conflict_v4,Tribe::peace_v1,Tribe::conflict_v4,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,0.0,sig_match::Tribe::peace_v1::Tribe::conflict_v1,2026-06-01T17:54:05.234735+00:00
Tribe::conflict_v4::Tribe::peace_v1,Tribe::conflict_v4,Tribe::peace_v1,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,0.0,sig_match::Tribe::conflict_v1::Tribe::peace_v1,2026-06-01T17:54:05.240933+00:00
Tribe::peace_v1::Tribe::conflict_v5,Tribe::peace_v1,Tribe::conflict_v5,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,0.0,sig_match::Tribe::peace_v1::Tribe::conflict_v1,2026-06-01T17:54:05.249356+00:00
Tribe::conflict_v5::Tribe::peace_v1,Tribe::conflict_v5,Tribe::peace_v1,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,0.0,sig_match::Tribe::conflict_v1::Tribe::peace_v1,2026-06-01T17:54:05.254372+00:00
Tribe::peace_v2::Tribe::conflict_v1,Tribe::peace_v2,Tribe::conflict_v1,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,0.0,sig_match::Tribe::peace_v1::Tribe::conflict_v1,2026-06-01T17:54:05.259896+00:00
Tribe::conflict_v1::Tribe::peace_v2,Tribe::conflict_v1,Tribe::peace_v2,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,0.0,sig_match::Tribe::conflict_v1::Tribe::peace_v1,2026-06-01T17:54:05.267816+00:00
Tribe::peace_v2::Tribe::conflict_v2,Tribe::peace_v2,Tribe::conflict_v2,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,0.0,sig_match::Tribe::peace_v1::Tribe::conflict_v1,2026-06-01T17:54:05.272286+00:00
Tribe::conflict_v2::Tribe::peace_v2,Tribe::conflict_v2,Tribe::peace_v2,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,0.0,sig_match::Tribe::conflict_v1::Tribe::peace_v1,2026-06-01T17:54:05.278060+00:00
Tribe::peace_v2::Tribe::conflict_v3,Tribe::peace_v2,Tribe::conflict_v3,Tribe,peace,conflict,pc,16322fd442d9cdc338b2eea5a4d342ea,"{""Res"": -1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",1251,4.82,3,6,0.0,sig_match::Tribe::peace_v1::Tribe::conflict_v1,2026-06-01T17:54:05.282595+00:00
Tribe::conflict_v3::Tribe::peace_v2,Tribe::conflict_v3,Tribe::peace_v2,Tribe,conflict,peace,cp,f2b0e63ade54267c66d28950ed4a95b0,"{""Res"": 1, ""C"": 1, ""C_Res"": 1, ""X"": -1, ""G"": -1}",861,5.28,4,6,0.0,sig_match::Tribe::conflict_v1::Tribe::peace_v1,2026-06-01T17:54:05.286178+00:00
Tribe::peace_v2::Tribe::conflict_v4,Tribe::peace_v2,Tribe::conflict_v4,Tribe,peace,conflict,pc,d7844ad6e84888e1a61ae74af0824f42,"{""Res"": 1, ""C"": -1, ""C_Res"": -1, ""X"": 1, ""G"": 1}",824,4.62,3,6,35.7,computed,2026-06-01T17:54:41.015665+00:00
