scenario,climate,security_priority,strategy_name,n_samples,feasibility_rate,ag_reduction_mean,ag_reduction_std,ag_reduction_p5,ag_reduction_p25,ag_reduction_median,ag_reduction_p75,ag_reduction_p95,final_violence_mean,final_violence_p5,final_violence_p95,final_trust_mean,robustness_25,robustness_50
low,0.3,0.0,Pure Development,100,1.0,78.1395604796857,5.632117005329544,67.643538963551,74.82623241843454,78.51720413506496,81.75317100626653,87.00201052520248,0.0012386560742924497,0.000632831080367364,0.0019984776806926054,206.7403667372808,1.0,1.0
low,0.3,0.1,10% Security,100,1.0,80.17411638114584,5.378132621818614,70.47412533849645,77.17062381799576,80.52057166956916,84.3747991906651,87.85310534934892,0.0010109462296899543,0.0005374316673079975,0.001743175963910702,195.3998045479882,1.0,1.0
low,0.3,0.2,20% Security,100,1.0,81.81131767168016,4.752802940401138,72.34899217532636,79.3761364982433,82.14909370148379,85.40592465259132,88.38810782787712,0.0010585557653310462,0.0005900861006691423,0.0017725094519317822,197.34581595105703,1.0,1.0
low,0.3,0.3,30% Security,100,1.0,82.66681473548923,5.591944842129766,72.28530655652649,79.65109438959085,83.20964772580342,86.53501491128064,91.36693191679534,0.0010904222460599515,0.0006137231369674667,0.0019146733067622738,190.80209374457252,1.0,1.0
low,0.3,0.4,40% Security,100,1.0,85.41015245204198,4.415201452618508,78.33363273941886,82.68414859371914,85.83688896730382,88.75840368774497,91.61963108501783,0.0009615406967122714,0.000517250209535923,0.0016715270876540506,188.1565672970071,1.0,1.0
low,0.3,0.5,Balanced,100,1.0,85.6367699992545,4.310564898953191,77.460658413511,83.11118177632316,85.59819837173943,88.89917854782215,91.76845815796084,0.0009071223544978958,0.0005214648058429437,0.001357682494902868,181.04272494920093,1.0,1.0
low,0.3,0.6,60% Security,100,1.0,88.23630497484915,4.02088056817968,79.79823300767177,86.13566065703262,89.08800892999034,90.83420428188357,93.11528346549794,0.0008712207695098162,0.00045486469611565934,0.0013883087531115332,183.07975462727896,1.0,1.0
low,0.3,0.7,70% Security,100,1.0,89.71218939333204,4.161083462901391,82.38363983400102,86.7956459406145,90.76408382106587,92.8839787319393,95.09427158744097,0.0007476274141358641,0.00040791697440319857,0.0011516019179784657,179.51683413552394,1.0,1.0
low,0.3,0.8,80% Security,100,1.0,91.5567268489516,3.222922929232626,86.90308726954723,89.09904072774587,91.36782547565785,94.33510907354842,96.4585376342712,0.0006962414597687808,0.00040804834057446457,0.0010936736459550697,177.33683453847902,1.0,1.0
low,0.3,0.9,90% Security,100,1.0,92.96336962357528,3.0523949451216477,88.24064710346819,91.4213009258258,93.0993335471608,95.63336292601915,97.40844629092716,0.0006555030045520991,0.0003479238961356539,0.001053564893936934,168.18055090237777,1.0,1.0
low,0.3,1.0,Pure Security,100,1.0,94.3567145012345,2.4239685774844117,90.42964039346593,92.29294101631277,94.73597904898979,96.29000689826304,97.73449131042867,0.0005947529261256301,0.0003129309935440736,0.000951239278467478,163.215506804081,1.0,1.0
low,0.5,0.0,Pure Development,100,1.0,78.19202622587946,5.5384247297364935,68.40814083205774,74.25354816059699,77.91600707308358,82.81872071727878,86.31106219122593,0.001086959424341958,0.0005847895872117719,0.0016571702426635118,209.65616946713106,1.0,1.0
low,0.5,0.1,10% Security,100,1.0,79.82767068366165,5.539376695212173,70.91259168664176,75.78397459759341,79.75799534580088,83.85529479682346,89.13045507854257,0.001146377444929374,0.0006584992727146138,0.0017648226708948662,205.80367512889782,1.0,1.0
low,0.5,0.2,20% Security,100,1.0,81.38068772008731,5.344823000021666,71.45759701700845,77.67686675705868,81.80352972897964,85.88499114552404,89.11165622863017,0.000991012447125483,0.0005597746174837312,0.001532242506772802,197.76013465555573,1.0,1.0
