boost_type,boost_approach,scenario,climate,n_samples,feasibility_rate,ag_reduction_mean,ag_reduction_std,ag_reduction_p5,ag_reduction_p95,final_violence_mean,final_trust_mean,robustness_25,robustness_50
baseline,initial_condition,low,0.3,100,1.0,85.85086829274842,4.599929271531641,77.51061572240803,93.04596686645807,0.00088747977619894,166.46510946564106,1.0,1.0
baseline,initial_condition,low,0.5,100,1.0,86.60741997119078,4.42422698158147,78.16507349362642,92.89905850574236,0.0007106122845983423,169.6120826469245,1.0,1.0
baseline,initial_condition,low,0.7,100,1.0,87.08340627339626,4.051255616009736,79.91137247745246,92.87102678434705,0.0007115092925823221,179.7215549337829,1.0,1.0
baseline,initial_condition,medium,0.3,100,1.0,76.03364933212283,5.991321540338113,65.26602126378135,84.18214793110224,0.001166155041528609,89.97149121005876,1.0,1.0
baseline,initial_condition,medium,0.5,100,1.0,77.49404280372954,4.895863394097429,68.94217891664097,84.50025520448838,0.0009765663469912202,94.48216460306992,1.0,1.0
baseline,initial_condition,medium,0.7,100,1.0,76.22259154163143,4.7582177965034465,69.32035992543776,84.33144631797472,0.0009095845026376706,96.38381489772804,1.0,1.0
baseline,initial_condition,severe,0.3,100,1.0,66.22330668861339,6.769453380297248,54.60630707054195,76.38415951777628,0.002088687795525484,27.48583906144007,1.0,1.0
baseline,initial_condition,severe,0.5,100,1.0,65.76188785365501,7.1346393051840895,51.8913417962925,76.521183159785,0.001712067540881261,30.202231956039153,1.0,0.98
baseline,initial_condition,severe,0.7,100,1.0,67.29240777338687,6.651122894609918,55.69565599161446,77.30241815439932,0.001518846567622243,32.86504476960449,1.0,1.0
E_boost,initial_condition,low,0.3,100,1.0,86.49451819402788,4.124248431295269,78.8834147189162,93.36254883243345,0.000758850068853879,189.74636239842854,1.0,1.0
E_boost,initial_condition,low,0.5,100,1.0,87.29253223100868,3.6870029804565263,81.33609968976396,93.23964376118303,0.0007024479416139638,199.58058461252492,1.0,1.0
E_boost,initial_condition,low,0.7,100,1.0,87.73660555166154,4.3666107837503665,79.78577857283648,93.51616968794715,0.0006574146898087349,207.96922911168235,1.0,1.0
E_boost,initial_condition,medium,0.3,100,1.0,76.66363223435796,5.321134638940077,67.34306734275546,85.63387061897768,0.0009788703092910313,110.28772898612584,1.0,1.0
E_boost,initial_condition,medium,0.5,100,1.0,77.04723830205562,5.264495952440865,67.98198240873353,84.9490683049212,0.0008342554282587285,113.0785676247058,1.0,1.0
E_boost,initial_condition,medium,0.7,100,1.0,77.5539337937498,5.396594299658576,68.4305664934975,85.79546897489365,0.0007545994948918135,117.69986648891005,1.0,1.0
E_boost,initial_condition,severe,0.3,100,1.0,66.47780812023154,7.140590008705878,54.9733043404007,78.03192933107871,0.0015355734773099476,34.81092435559829,1.0,0.99
E_boost,initial_condition,severe,0.5,100,1.0,67.27144133973769,7.051779514316404,54.4600837130764,78.13977792281254,0.0013531942103791222,37.82751099997975,1.0,0.99
E_boost,initial_condition,severe,0.7,100,1.0,68.0130894738769,6.681504069827197,55.86252812857828,78.85681492425864,0.0011824058828785384,43.706184565472824,1.0,0.99
T_boost,initial_condition,low,0.3,100,1.0,85.48172752874791,4.359247998900598,78.371440918154,92.17844250388099,0.0008401501587672733,179.8381855184516,1.0,1.0
T_boost,initial_condition,low,0.5,100,1.0,86.71736084930463,4.209173994766111,78.563723462917,92.8550836536812,0.0007984371429021678,190.1837598622043,1.0,1.0
T_boost,initial_condition,low,0.7,100,1.0,87.40884005074867,4.0212079121228665,80.01632672729824,93.15172844785582,0.0006959382367686298,197.6711803800224,1.0,1.0
T_boost,initial_condition,medium,0.3,100,1.0,76.47852451321069,4.683105187663558,68.78702493777702,84.5115969638993,0.00104423552572248,104.43858938886669,1.0,1.0
T_boost,initial_condition,medium,0.5,100,1.0,77.12311055690112,4.898383629658611,69.03905077657551,84.62927670838845,0.0009721633826495528,107.16923865711252,1.0,1.0
T_boost,initial_condition,medium,0.7,100,1.0,78.35481467986878,5.111571990202116,70.40595238514484,86.98012411387694,0.0009397976029704377,108.61723162671946,1.0,1.0
T_boost,initial_condition,severe,0.3,100,1.0,65.74998003517389,7.0890936420089385,53.63273565539729,76.74376306991829,0.001961575516625412,32.57305269038556,1.0,0.99
T_boost,initial_condition,severe,0.5,100,1.0,65.72781047924633,6.870762076388901,55.5492870343744,77.14736384099368,0.00177821539783659,34.18010884245342,1.0,0.99
T_boost,initial_condition,severe,0.7,100,1.0,66.56860698638117,6.997663593092839,53.04056325992172,76.1281307955277,0.0016392254621625845,35.31828746882159,1.0,0.98
V_boost,initial_condition,low,0.3,100,1.0,86.06758035299836,4.965151862477278,75.75772613929526,92.32654270720016,0.0008491134785529185,160.31216914902438,1.0,1.0
V_boost,initial_condition,low,0.5,100,1.0,86.80409138215589,4.042360864177036,80.85382708831771,92.36952005786866,0.0007923532556015702,171.06796135777498,1.0,1.0
V_boost,initial_condition,low,0.7,100,1.0,86.71917525913426,4.7734102882175335,78.71199938567625,92.95184409287158,0.0007283127313812794,175.44106995785776,1.0,1.0
V_boost,initial_condition,medium,0.3,100,1.0,75.38736425338806,5.515639082207373,65.8131290046625,84.1061248994881,0.001047630690330161,84.82378798234632,1.0,1.0
V_boost,initial_condition,medium,0.5,100,1.0,76.25689142351483,5.350146900073339,67.07328306998139,84.42864072080519,0.0009288672859583269,90.2935729906788,1.0,1.0
V_boost,initial_condition,medium,0.7,100,1.0,76.58632589489929,5.320690106637505,67.40965899913081,84.07570083625714,0.0008948720827999959,91.54415809245816,1.0,1.0
V_boost,initial_condition,severe,0.3,100,1.0,65.45369029865924,7.063042560475477,54.11592326838721,76.89223399207107,0.0024088028996310244,19.387592152506464,1.0,1.0
V_boost,initial_condition,severe,0.5,100,1.0,66.34489370477046,7.581367707403511,55.62812707330128,79.07280100349566,0.0017042353350857423,23.727538632862238,1.0,0.99
V_boost,initial_condition,severe,0.7,100,1.0,67.53284141809014,7.381489884504704,54.53100212884217,78.57438997262469,0.0015560074947815739,24.205184562142854,1.0,0.98
E+T_boost,initial_condition,low,0.3,100,1.0,85.65010752725793,4.159921959695058,79.02939650806756,92.49119688208184,0.0007576742309637321,210.48556347656486,1.0,1.0
