boost_type,boost_approach,scenario,climate,n_samples,feasibility_rate,ag_reduction_mean,ag_reduction_std,ag_reduction_p5,ag_reduction_p95,final_violence_mean,final_trust_mean,robustness_25,robustness_50
baseline,reaction_rate,low,0.3,100,1.0,85.32052828633886,4.80335680239801,78.00451307757704,92.54293733199887,0.0008770696431129164,162.22194125877903,1.0,1.0
baseline,reaction_rate,low,0.5,100,1.0,85.85513313313344,4.398032234492394,78.93104712215958,92.70553583598334,0.0008177421052014742,169.29784323127114,1.0,1.0
baseline,reaction_rate,low,0.7,100,1.0,87.63103790029514,4.060689784207915,80.54247088980595,94.25545786131434,0.0007551930903989325,179.53991020964284,1.0,1.0
baseline,reaction_rate,medium,0.3,100,1.0,76.21464086661668,5.218540495360021,67.31501375447428,83.91070441865381,0.001018770378619256,91.02259990645229,1.0,1.0
baseline,reaction_rate,medium,0.5,100,1.0,77.36180100023242,5.185748668661557,69.3433303234739,85.5263120283271,0.0009347531067791571,94.78273901271588,1.0,1.0
baseline,reaction_rate,medium,0.7,100,1.0,78.02802733014818,4.756230114507511,68.39360741915496,84.685826344847,0.0008474405873603234,99.96797602944997,1.0,1.0
baseline,reaction_rate,severe,0.3,100,1.0,66.97438999117462,6.635629963492155,56.128333778074925,77.29197468399127,0.0021169975119040775,27.0866934793765,1.0,0.99
baseline,reaction_rate,severe,0.5,100,1.0,65.27263830136286,7.333664733279623,53.949997477088345,76.40848887483585,0.0017649667850506941,30.424704860584807,1.0,0.99
baseline,reaction_rate,severe,0.7,100,1.0,66.59914076016514,7.904158849870392,52.468593236293785,78.0931631043688,0.0015078366957201924,33.33335232413667,1.0,0.96
E_rate_boost,reaction_rate,low,0.3,100,1.0,86.10780315303627,3.852268580334678,79.8226037165694,92.87320607422572,0.0008324584692179232,163.04964554618107,1.0,1.0
E_rate_boost,reaction_rate,low,0.5,100,1.0,86.82011728248277,4.202770321719522,79.54727290378361,93.61312610998199,0.0007514467886880334,173.0443398450573,1.0,1.0
E_rate_boost,reaction_rate,low,0.7,100,1.0,87.3968291474749,3.850123374141347,81.69639918277886,92.9132118570134,0.0007228437478270505,180.56975096724875,1.0,1.0
E_rate_boost,reaction_rate,medium,0.3,100,1.0,77.40499472383173,4.936600735559065,69.855541898724,84.9173231732601,0.0010357907528827045,91.54791444978451,1.0,1.0
E_rate_boost,reaction_rate,medium,0.5,100,1.0,78.35693777520787,4.959051425910579,70.32187171689796,85.34165571839617,0.0009445478519459751,94.57472352557325,1.0,1.0
E_rate_boost,reaction_rate,medium,0.7,100,1.0,77.84267188251656,5.456757025392514,68.43840380292302,85.71694090576653,0.000884770131861065,99.50304899087436,1.0,1.0
E_rate_boost,reaction_rate,severe,0.3,100,1.0,67.0486828385761,6.926650476632934,56.2341507718953,76.67179441213544,0.0020004413388672263,28.119726329077995,1.0,0.98
E_rate_boost,reaction_rate,severe,0.5,100,1.0,65.60761278161972,6.792668506794546,55.3465162632533,75.63821515789867,0.001809030066095422,30.18370312969382,1.0,0.99
E_rate_boost,reaction_rate,severe,0.7,100,1.0,66.96334240292398,6.799981029124737,54.653088997095935,76.336076484299,0.0015601836048419126,32.932179715136925,1.0,0.99
T_rate_boost,reaction_rate,low,0.3,100,1.0,85.35931542875286,4.3094181786197066,78.30771431551418,92.083826166001,0.0009141324344572164,179.452076052587,1.0,1.0
T_rate_boost,reaction_rate,low,0.5,100,1.0,86.06366225271844,4.313896905045652,76.88379778939868,91.50728047607066,0.0009392484569619151,184.9614572003675,1.0,1.0
T_rate_boost,reaction_rate,low,0.7,100,1.0,86.73690583279785,4.956904120002111,78.03490405268377,92.98825471409762,0.0008312850119701235,193.9422547962737,1.0,1.0
T_rate_boost,reaction_rate,medium,0.3,100,1.0,76.48488899750882,5.313137643975764,67.86002576686741,84.4966599097296,0.00124034732901267,97.50964733851117,1.0,1.0
T_rate_boost,reaction_rate,medium,0.5,100,1.0,77.38999311662971,5.437057872006776,67.79038481113189,85.49162943908992,0.0010887893192429604,103.54826891232949,1.0,1.0
T_rate_boost,reaction_rate,medium,0.7,100,1.0,76.38801604743152,4.4864141033840035,69.46286523317342,83.0429633333314,0.0010669050776990722,106.121793699875,1.0,1.0
T_rate_boost,reaction_rate,severe,0.3,100,1.0,65.94452730725985,7.728367385892579,52.01943553124535,77.93656918768329,0.00216858431863399,29.73993139318057,1.0,0.97
T_rate_boost,reaction_rate,severe,0.5,100,1.0,66.12650260287565,7.097290447221139,56.264220106782275,77.88488411723498,0.0018577163575418585,31.197936586542802,1.0,0.99
T_rate_boost,reaction_rate,severe,0.7,100,1.0,66.07943089276563,6.536796473255331,54.67592069805228,75.27237957750874,0.0016145589750366756,35.85528796953006,1.0,1.0
V_rate_boost,reaction_rate,low,0.3,100,1.0,87.78722398105663,4.2710609893865445,80.5609892603164,93.203814941518,0.000994741866327991,161.46096505962703,1.0,1.0
V_rate_boost,reaction_rate,low,0.5,100,1.0,89.80502832832644,3.8742239244227448,83.67650433599862,95.26079189043352,0.0008325561856428617,171.36378977009466,1.0,1.0
V_rate_boost,reaction_rate,low,0.7,100,1.0,89.85225795193169,3.8722186107398286,81.85926187553721,94.92820430377486,0.0008155393786155731,179.4968369109099,1.0,1.0
V_rate_boost,reaction_rate,medium,0.3,100,1.0,78.51105768169565,5.181172127625783,68.26682408699669,85.96342463283554,0.0012893992996324823,93.2190337038329,1.0,1.0
V_rate_boost,reaction_rate,medium,0.5,100,1.0,78.88507416845503,4.966852695541308,70.04729244402006,85.76111946546281,0.0012442311279158456,95.5724476813086,1.0,1.0
V_rate_boost,reaction_rate,medium,0.7,100,1.0,78.50373703436307,5.6095101191454,68.4366075133065,88.18598207330328,0.0011534698952732764,97.82010853400433,1.0,1.0
V_rate_boost,reaction_rate,severe,0.3,100,1.0,65.82928443780816,8.210184391139796,52.7412349520832,80.04597059180531,0.0028393223803928557,26.50234948680486,1.0,0.97
V_rate_boost,reaction_rate,severe,0.5,100,1.0,67.78989867139833,7.524567099536684,54.85724490053489,79.49636456785643,0.0021648784139872263,29.983441906241797,1.0,0.99
V_rate_boost,reaction_rate,severe,0.7,100,1.0,67.99879886526546,6.711700567307726,56.308440947699474,77.96152585040461,0.0020566698645776925,30.929322100982187,1.0,1.0
